Query Term,Normalized Query Term,Tweet ID
Аsshole,asshole,1313303377137238016
Аsshole,asshole,1312109376149233665
Аsshole,asshole,1310362921998987265
Аsshole,asshole,1309134330233487360
Аsshole,asshole,1303804853349740545
Аsshole,asshole,1303803593791864832
Аsshole,asshole,1303798976366419968
Аsshole,asshole,1303144029287260161
Аsshole,asshole,1302605177564917760
Аsshole,asshole,1302245677850918913
Аsshole,asshole,1302026911946768385
Аsshole,asshole,1301961693405339649
Аsshole,asshole,1301650578616061952
Аsshole,asshole,1301145569424035844
Аsshole,asshole,1300093224321716224
Аsshole,asshole,1299375740606124038
Аsshole,asshole,1297904148000780288
Аsshole,asshole,1297626092854009856
Аsshole,asshole,1296193625379004416
Аsshole,asshole,1295046630585110528
Аsshole,asshole,1293997091572916226
Аsshole,asshole,1293563499952701440
Аsshole,asshole,1293323772053913600
Аsshole,asshole,1292519274087690246
Аsshole,asshole,1292029311797485568
Аsshole,asshole,1289971952241635328
Аsshole,asshole,1283251537175875584
Аsshole,asshole,1277699141532110851
Аsshole,asshole,1276491885750689794
Аsshole,asshole,1276213996425805832
Аsshole,asshole,1275423753258876928
Аsshole,asshole,1267836278567063554
Аsshole,asshole,1267473145402986497
Аsshole,asshole,1267190069707911170
Аsshole,asshole,1259498586955558912
Аsshole,asshole,1254194356610891776
Аsshole,asshole,1253506927411318784
Аsshole,asshole,1251941906394873857
Аsshole,asshole,1251239823739883520
Аsshole,asshole,1245491110534840323
Аsshole,asshole,1245126465064185856
Аsshole,asshole,1243683198481190914
Аsshole,asshole,1243570247380209669
Аsshole,asshole,1241322418855194624
Аsshole,asshole,1240275125821419520
Аsshole,asshole,1238569120049831941
Аsshole,asshole,1237480063857315842
Аsshole,asshole,1236838788728569859
Аsshole,asshole,1236695045723623424
Аsshole,asshole,1232078243462819840
Аsshole,asshole,1232076433121579008
Аsshole,asshole,1231281355146829824
Аsshole,asshole,1227977271501299713
Аsshole,asshole,1227977089225314304
Аsshole,asshole,1227438380574744577
Аsshole,asshole,1225787873313665024
Аsshole,asshole,1225769291934556162
Аsshole,asshole,1215688917745270784
Аsshole,asshole,1214696593435381760
Аsshole,asshole,1209709525013430272
Аsshole,asshole,1195365574437736450
Аsshole,asshole,1135815645851987969
Аsshole,asshole,1134097161317158914
Аsshole,asshole,1133736031688253445
Аsshole,asshole,1133080061203099648
Аsshole,asshole,1130924769866637313
Аsshole,asshole,1112753695538794502
Аsshole,asshole,1086938913321689088
Аsshole,asshole,1079810980480200704
Аsshole,asshole,972545418692300800
Аsshole,asshole,971099164456226816
Аsshole,asshole,966967581973336064
Аsshole,asshole,889174742263115776
Аsshole,asshole,880075112002617345
Аsshole,asshole,797149926954332160
Аsshole,asshole,743348384623321092
Аsshole,asshole,743341994462720000
Аsshole,asshole,741963728820830208
Аsshole,asshole,741760326677499905
Аsshole,asshole,741757576132591616
Аsshole,asshole,741752422629015552
Аsshole,asshole,741715267533844480
Аsshole,asshole,731352140057350144
Аsshole,asshole,719059103688093696
Аsshole,asshole,711295538268758016
Аsshole,asshole,682073638795739136
Аsshole,asshole,672539106228830208
Аsshole,asshole,660904247542726656
Аsshole,asshole,647925880786841600
Аsshole,asshole,646976444321558528
Аsshole,asshole,642585539238076416
Аsshole,asshole,627686893488988160
Аsshole,asshole,624671078053380096
Аsshole,asshole,619748053948325889
Аsshole,asshole,610976156582412288
Аsshole,asshole,575549311263633410
Аsshole,asshole,553206968757014528
Аsshole,asshole,545327329623674880
Аsshole,asshole,534067735006040064
Аsshole,asshole,520642817061040128
Аsshole,asshole,516196591091597312
Аsshole,asshole,504591976290086912
Аsshole,asshole,504346655337218048
Аsshole,asshole,504325330052456448
Аsshole,asshole,497750701246656512
Аsshole,asshole,497383388261531650
Аsshole,asshole,497379612960116736
Аsshole,asshole,486213234882781184
Аsshole,asshole,462287877897207808
Аsshole,asshole,359372011803377665
Аsshole,asshole,355767142571974656
Аsshole,asshole,281480695686234112
Аsshole,asshole,261805062047817730
Аsshole,asshole,259348040341667841
Аsshole,asshole,259137625120727040
Аsshole,asshole,258929969537892352
Аsshole,asshole,258639597553209347
Аsshole,asshole,258458052473274368
Аsshole,asshole,258347662489833472
Аsshole,asshole,258237490165587968
Аsshole,asshole,258230040586772480
Аsshole,asshole,258132538365714433
Аsshole,asshole,258089183627853824
Аsshole,asshole,258063836039507968
Аsshole,asshole,257981320272158720
Аsshole,asshole,257748262629543936
Аsshole,asshole,257720499096932352
Аsshole,asshole,253158837442449409
Аsshole,asshole,252604613373607937
Аsshole,asshole,252552991327002626
Аsshole,asshole,252423335068188672
Аsshole,asshole,252403908289363968
Аsshole,asshole,252307951442862080
Аsshole,asshole,252283259990458368
Аsshole,asshole,252239977235243008
Аsshole,asshole,252224378840969216
Аsshole,asshole,252128133581520896
Аsshole,asshole,252055788892327936
Аsshole,asshole,252000653017219072
Аsshole,asshole,251966100106010624
Аsshole,asshole,251938276297015296
Аsshole,asshole,251890172688474112
Аsshole,asshole,251877405680095232
Аsshole,asshole,251876232310960129
Аsshole,asshole,251836288414666752
Аsshole,asshole,251836119711379456
Аsshole,asshole,251812468085645313
Аsshole,asshole,251740304921722880
Аsshole,asshole,251719408458809344
Аsshole,asshole,251706434411167744
Аsshole,asshole,251676209124089857
Аsshole,asshole,251637532759052288
Аsshole,asshole,251617732561358848
Аsshole,asshole,251598967442378752
Аsshole,asshole,251584225051045888
Аsshole,asshole,251440919184826370
Аsshole,asshole,251432919963402240
Аsshole,asshole,251355235908476928
Аsshole,asshole,251335922266812416
Аsshole,asshole,251321869129641987
Аsshole,asshole,251097096344723459
Аsshole,asshole,251090996484526080
Аsshole,asshole,251087992058437632
Аsshole,asshole,251044905764401153
Аsshole,asshole,251009496577605632
Аsshole,asshole,244990695654449152
Аsshole,asshole,244985459749568512
Аsshole,asshole,244857954485039105
Аsshole,asshole,240223058131042305
Аsshole,asshole,240052205271515136
Аsshole,asshole,240008166203609089
Аsshole,asshole,239949688260923392
Аsshole,asshole,239931203665403904
Аsshole,asshole,239926623716126720
Аsshole,asshole,239883447001300992
Аsshole,asshole,239883066351419392
Аsshole,asshole,239849353987100672
Аsshole,asshole,239586856872857600
Аsshole,asshole,239067713555812353
Аsshole,asshole,238786920807800832
Аsshole,asshole,237784455765454848
Аsshole,asshole,225834439970795521
Аsshole,asshole,192960708625973251
Аsshole,asshole,140069027694383105
Аsshole,asshole,24561022931
Аsshole,asshole,17474298971
aЅshole,asshole,1316946466133475328
assНole,asshole,1572376471963930624
assНole,asshole,1508286499258654725
assНole,asshole,1224561182432014336
assНole,asshole,998670787421835264
assНole,asshole,289479439451054080
assНole,asshole,289479389404602368
assНole,asshole,145178528932044800
asshоle,asshole,1604376145352306689
asshоle,asshole,1604247665822543873
asshоle,asshole,1603348008191594496
asshоle,asshole,1600976680541392896
